record_id,source_file,listing_id,monthly_rent_lkr,log_monthly_rent_lkr,property_type,district,location,furnishing_status,source,bedrooms,bathrooms,floor_area_sqft,land_perches,floor_number,car_parking_spaces,deposit_months,advance_months,lease_term_months,posted_year,posted_month,amenity_count,amenity_24_hour_security,amenity_3_phase_electricity,amenity_ac_rooms,amenity_attached_toilets,amenity_backup_generator,amenity_balcony,amenity_bbq_area,amenity_beachfront_sea_view,amenity_brand_new,amenity_business_center,amenity_cable_sat_tv,amenity_cafe_restaurant,amenity_central_ac,amenity_club_house,amenity_fiber_internet,amenity_fire_detection,amenity_fully_furnished,amenity_garage,amenity_garbage_removal,amenity_gated_community,amenity_gym,amenity_home_security_system,amenity_hot_water,amenity_internet,amenity_jogging_track,amenity_kids_play_area,amenity_laundry,amenity_lawn_garden,amenity_lifts,amenity_luxury_specs,amenity_maids_room,amenity_maids_toilet,amenity_on_site_parking,amenity_outdoor_garden,amenity_overhead_water_storage,amenity_pet_friendly,amenity_private_entrance,amenity_private_pool,amenity_roof_top_garden,amenity_separate_kitchen,amenity_serviced_apartment,amenity_sport_facilities,amenity_swimming_pool,amenity_waterfront_riverside,is_short_term,has_description,description_length,feature_anomaly_count
14b5c7364d676457,room_&_annex_rentals_properties.csv,gaehaennu-llmyeku-sdhaa-kaamr-phsukm-sharing-roomt-for-rent-colombo,8000,8.987321812850125,Portion,Colombo,Colombo 5,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,427,0
e892f3a4c3b29215,room_&_annex_rentals_properties.csv,rooms-for-rent-in-negombo-for-rent-gampaha-3,12000,9.392745258631441,Annex,Gampaha,Negombo,unknown,ikman_category,3,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,152,0
666724f625ef1d81,room_&_annex_rentals_properties.csv,room-for-medical-students-for-rent-colombo-1,15000,9.61587214452889,Portion,Colombo,Colombo 10,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0
ce0be1741db32d0e,room_&_annex_rentals_properties.csv,boarding-room-for-girls-for-rent-gampaha,7000,8.853808274977197,Portion,Gampaha,Kelaniya,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0
1b954dcfe684ff9c,room_&_annex_rentals_properties.csv,rooms-for-rent-in-borella-colombo-8-boys-only-for-rent-colombo-15,9000,9.105090961257085,House,Colombo,Colombo 8,unknown,ikman_category,3,1,0,0,0,0,0,0,0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,0
3ca407d2dbb7bfbd,room_&_annex_rentals_properties.csv,annex-for-rent-in-rajagiriya-for-rent-colombo-352,38000,10.545367754151743,Annex,Colombo,Rajagiriya,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,172,0
9207e042cd538956,room_&_annex_rentals_properties.csv,rent-a-room-for-rent-colombo-311,25000,10.12667110305036,Annex,Colombo,Colombo 6,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,69,0
2cf4df7a4d87c22d,room_&_annex_rentals_properties.csv,annex-for-rent-in-pamunuwa-rd-maharagama-for-rent-colombo,35000,10.463131911491967,Annex,Colombo,Maharagama,unknown,ikman_category,2,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,173,0
7693b2e424b15103,room_&_annex_rentals_properties.csv,rooms-for-rent-in-bulugaha-junction-kelaniya-for-rent-gampaha-9,6000,8.699681400989514,Annex,Gampaha,Kelaniya,unknown,ikman_category,7,3,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361,0
8423c377a84c06b2,room_&_annex_rentals_properties.csv,annex-rent-in-rathmalana-for-rent-colombo,22000,9.99884318585288,Annex,Colombo,Rathmalana,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,165,0
e2ad6c0297d838ce,room_&_annex_rentals_properties.csv,annex-for-rent-girls-only-for-rent-colombo-2,12000,9.392745258631441,Annex,Colombo,Dehiwala,unknown,ikman_category,2,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,172,0
68f06bfd7c312f18,room_&_annex_rentals_properties.csv,annex-for-rent-kiribathgoda-for-rent-gampaha-86,25000,10.12667110305036,Annex,Gampaha,Kiribathgoda,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,173,0
87a3848af9ba4ea7,room_&_annex_rentals_properties.csv,8-bedplaces-available-boarding-for-rent-colombo-1,5500,8.612685172875459,Portion,Colombo,Colombo 8,unknown,ikman_category,8,2,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,238,0
7c54a68e5e4446b9,room_&_annex_rentals_properties.csv,room-for-rent-for-rent-colombo-8670,9500,9.15915233520675,Portion,Colombo,Piliyandala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,426,0
d6303beb4ab97887,room_&_annex_rentals_properties.csv,ensuite-room-for-rent-in-wellawatte-for-rent-colombo,25000,10.12667110305036,Portion,Colombo,Colombo 6,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,170,0
ef6785e75f1c4d01,room_&_annex_rentals_properties.csv,rooms-for-rent-jaffna-for-rent-jaffna-8,100000,11.51293546492023,Annex,Jaffna,Jaffna City,unknown,ikman_category,8,8,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61,1
a051f94b4cb59c5f,room_&_annex_rentals_properties.csv,rooms-for-girl-students-near-jayawardenapura-university-for-rent-colombo,7000,8.853808274977197,Portion,Colombo,Nugegoda,unknown,ikman_category,5,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95,0
7ac490714624bb49,room_&_annex_rentals_properties.csv,boarding-rooms-for-rent-in-nugegoda-for-rent-colombo-15,15000,9.61587214452889,Portion,Colombo,Nugegoda,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,166,0
