URL,Title,Location,Price_Per_Month,Property Type,Bedrooms,Bathrooms/WCs,Floor area,Floor Number,Deposit,Min. lease term,Availability,Price per sq.ft.,Car parking spaces,Furnishing Status,Advance payment,Short term,Description,Features
https://www.lankapropertyweb.com/rentals/property_details-5800914.html,Prime - 03 Bedroom Furnished Apartment for Rent in Rajagiriya (A1325)-RENTED,Rajagiriya,"Rs. 250,000",Apartment,3,2,1675 sq.ft.,N/A,None,None,Rented,Rs. 149 Per Month,N/A,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5800871.html,"House for Rent - Colombo 05 | LKR 750,000",Colombo 5,"Rs. 750,000",House,7,5,5000 sq.ft.,N/A,N/A,N/A,Available Now,N/A,3,Furnished,N/A,N/A,N/A,"MAID'S ROOM, MAID'S TOILET"
https://www.lankapropertyweb.com/rentals/property_details-5800862.html,"3 Bedroom Apartment for Rent in Capitol Twin Peaks, R81527",Colombo 2,"Rs. 510,000",Apartment,3,2,1300 sq.ft.,N/A,None,N/A,Available Now,Rs. 392 Per Month,1,Furnished,N/A,No,N/A,"AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, INTERNET, CABLE/SAT TV, HOT WATER, 3 PHASE ELECTRICITY, HOME SECURITY SYSTEM, GARAGE, GYM, BACKUP GENERATOR, FIRE DETECTION, BALCONY, LP GAS, GAME ROOM, KIDS PLAY AREA, MINI MART, BUSINESS CENTER, SPORT FACILITIES, ATTACHED TOILETS, CAFE / RESTAURANT, GARBAGE REMOVAL, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5800859.html,"2 Bedroom Apartment for Rent in Colombo 4, R81526",Colombo 4,"Rs. 450,000",Apartment,2,2,1400 sq.ft.,12,None,N/A,Available Now,Rs. 321 Per Month,1,Furnished,N/A,No,N/A,"AC ROOMS, BEACHFRONT / SEA VIEW, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, INTERNET, CABLE/SAT TV, HOT WATER, 3 PHASE ELECTRICITY, HOME SECURITY SYSTEM, ROOF TOP GARDEN, GARAGE, GYM, BACKUP GENERATOR, FIRE DETECTION, BALCONY, CLUB HOUSE, JOGGING TRACK, LAUNDRY, LP GAS, GAME ROOM, MINI MART, PET FRIENDLY, SPORT FACILITIES, ATTACHED TOILETS, CAFE / RESTAURANT, GARBAGE REMOVAL, MAID'S ROOM, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5800851.html,"2 Bedroom Apartment for Rent in Rajgiriya, R81525 (Only for Foreigner)",Rajagiriya,"Rs. 220,000",Apartment,2,2,1200 sq.ft.,3,N/A,N/A,Available Now,Rs. 183 Per Month,1,Furnished,N/A,N/A,N/A,"AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, INTERNET, CABLE/SAT TV, HOT WATER, 3 PHASE ELECTRICITY, HOME SECURITY SYSTEM, ROOF TOP GARDEN, GARAGE, GYM, THEATRE, FIRE DETECTION, BALCONY, CLUB HOUSE, LAUNDRY, LP GAS, GAME ROOM, KIDS PLAY AREA, MINI MART, BUSINESS CENTER, SPORT FACILITIES, ATTACHED TOILETS, PRIVATE POOL, CAFE / RESTAURANT, BBQ AREA, GARBAGE REMOVAL, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5800836.html,Iconic Galaxy Rajagiriya 2 BR Luxury Apartment For Rent,Rajagiriya,"Rs. 285,000",Apartment,2,2,1205 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 237 Per Month,N/A,Furnished,N/A,N/A,"Iconic Galaxy Rajagiriya Fully Furnished 2 BR Luxury Apartment For Rent, Higher Floor Beautiful View, - 2 Bed / 2Bath, - More 1205 sqft of living, - Separate maid area and maid bathroom, - Platinum Category finishes, - Fully Furnished, Bathroom specifications, • Wall cabinets and Water closets - Toto, • Frameless glass shower with Hot Water facility, Kitchen Specifications, • Pantry cupboards with Granite tops, • Cooker Hob and Hood - Simfer, • Central LP Gas supply, Complex Details, Rooftop Garden / Roof Top Caféwith SKY DECK, Banquet Hall / Commons Room & Business Centre, 23rd Floor Gym, Mini Cinema, Kids play area for TODDLES & Outdoor play garden for kids, In house Library, Squash Court, Swimming Pool & SPA, Supermarket, Laundromat, 285,000/- (negotiable), Half a month agent fee required","SWIMMING POOL, GYM"
https://www.lankapropertyweb.com/rentals/property_details-5800814.html,Cinnamon Life - 02 Bedroom Furnished Apartment for Rent in Colombo 02 (A4535)-RENTED,Colombo 2,"Rs. 585,000",Apartment,2,2,1273 sq.ft.,N/A,N/A,N/A,Rented,Rs. 460 Per Month,N/A,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5800809.html,Shangri-La - 02 Bedroom Furnished Apartment for Rent in Colombo 02 (A4494)-RENTED,Colombo 2,"Rs. 750,000",Apartment,2,2,1733 sq.ft.,N/A,N/A,N/A,Rented,Rs. 433 Per Month,N/A,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5800399.html,3 Bedrooms Apartment for Rent in Colombo 3- PDA100,Colombo 3,"Rs. 300,000",Apartment,3,3,1200 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 250 Per Month,N/A,Furnished,N/A,N/A,"3 Bedrooms Apartment for Rent in Colombo 3- PDA100, ￭ Colombo 3, ￭ Hope Residency, ￭ 3 Bedrooms, ￭ 3 Bathrooms, ￭ Living Room, ￭ Kitchen with Pantry, ￭ 1 Parking slot, ￭ Furnished, ￭ 1,200 sqft, ￭ Air Conditioned, ￭ Lower Floor, Rs. 300,000/- Per Month, Property Code: PDA100, (please mention the property code when calling)",N/A
https://www.lankapropertyweb.com/rentals/property_details-5800353.html,▪️Capitol TwinPeaks Apartment▪️For Rent▪️Colombo 02▪️(NK106764),Colombo 2,"Rs. 511,000",Apartment,3,2,1079 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 474 Per Month,N/A,Furnished,N/A,No,"▪️Capitol TwinPeaks Apartment▪️For Rent▪️Colombo 02▪️(NK106764), ▪️1,079 Sq.Ft, ▪️Lower Floor, ▪️03 Bedrooms, ▪️02 Bathrooms, ▪️Beira Lake View, ▪️Fully Furnished, ▪️Domestic Room + Toilet Available, ▪️ Rental Ask: USD 1,700 Or LKR 510,000/= (Negotiable), ▪️ Please Mention Property Code (NK106764) When Inquiring.","AC ROOMS, BEACHFRONT / SEA VIEW, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, INTERNET, HOT WATER, GYM, FIRE DETECTION, JOGGING TRACK, BUSINESS CENTER, PET FRIENDLY, ATTACHED TOILETS, BBQ AREA, GARBAGE REMOVAL, MAID'S ROOM, MAID'S TOILET"
